"Accession","Gene","median.x","median.y","group"
"1","A0A2R8YCH5","CTNNB1",0.788550541559846,0.802250861971841,"strong"
"2","Q02413","DSG1",0.165629439263449,0.789150722128169,"noise"
"3","P12830","CDH1",0.863979877380066,0.845861786482594,"strong"
"4","P42704","LRPPRC",0.36482702441489,0.668325708148177,"weak"
"5","P04406","GAPDH",0.361158315015512,0.630205135690569,"weak"
"6","P06732","CKM",0.653263258655215,0.316248583193108,"noise"
"7","A0A669KB05","CTNND1",0.569952864240242,0.673892134201413,"weak"
"8","P22626","HNRNPA2B1",0.407082719264771,0.530443855918177,"noise"
"9","Q96P63","SERPINB12",0.170302197022093,0.773503093721714,"noise"
"10","P15924","DSP",0.0872132084120444,0.845551678990794,"noise"
"11","Q15637","SF1",0.405894039919729,0.518211669319279,"noise"
"12","P14923","JUP",0.276590133696493,0.79653920645997,"noise"
"13","P11142","HSPA8",0.396572067001698,0.656178760817355,"weak"
"14","P10809","HSPD1",0.522246080840006,0.561690675939653,"noise"
"15","P05141","SLC25A5",0.459185335584346,0.535817042497362,"noise"
"16","E9PDC3","ARVCF",0.330950266725636,0.68377253420124,"weak"
"17","P21796","VDAC1",0.356610612963948,0.654550104418995,"weak"
"18","P19474","TRIM21",0.661767568928274,0.349693457435075,"weak"
"19","P25311","AZGP1",0.184386215002008,0.809485578035483,"noise"
"20","P11021","HSPA5",0.460625282488713,0.777878288889549,"weak"
"21","Q5T9A4","ATAD3B",0.341305265448132,0.564715529683505,"noise"
"22","Q99569","PKP4",0.616663560035498,0.7061318592235,"strong"
"23","P08238","HSP90AB1",0.361077931515176,0.634636699711728,"weak"
"24","F5GZS6","SLC3A2",0.770792138130998,0.771600920397631,"strong"
"25","O60232","ZNRD2",0.618420482384723,0.393072732226982,"weak"
"26","P07355","ANXA2",0.23074575083345,0.72286290137529,"noise"
"27","P05109","S100A8",0.261327030117997,0.687773194558295,"noise"
"28","P04083","ANXA1",0.329209506387696,0.636582074230931,"weak"
"29","Q9GZT3","SLIRP",0.310956612487545,0.608123932141787,"noise"
"30","Q6P2Q9","PRPF8",0.547401533348361,0.445537847060097,"noise"
"31","P25705","ATP5F1A",0.34048673346308,0.617363153834413,"weak"
"32","Q5T5P2","KIAA1217",0.507082632145012,0.773773656512685,"weak"
"33","P56945","BCAR1",0.398351371915983,0.505333189009617,"noise"
"34","P62805","H4C1",0.347448448506716,0.632808630389895,"weak"
"35","J3QTR3","RPS27A",0.300223899748391,0.701284608173894,"weak"
"36","P02545","LMNA",0.275659456609145,0.796217275778074,"noise"
"37","H0YFD6","HADHA",0.350254555523241,0.692803974918275,"weak"
"38","F8W6I7","HNRNPA1",0.407343368762907,0.559417600412838,"noise"
"39","P17302","GJA1",0.669109094651638,0.253465261396475,"noise"
"40","Q14157","UBAP2L",0.49621755553121,0.309600366060798,"noise"
"41","Q99623","PHB2",0.336438320606527,0.602051280550892,"noise"
"42","Q96S66","CLCC1",0.497016289047677,0.51940336373805,"noise"
"43","P06576","ATP5F1B",0.349270152754989,0.619171542294392,"weak"
"44","Q16777","H2AC20",0.266479545594745,0.69806432982047,"noise"
"45","P55084","HADHB",0.396375997587394,0.610477876186989,"noise"
"46","O75629","CREG1",0.4947506842014,0.50426824710768,"noise"
"47","A0A0G2JIW1","HSPA1B",0.54232927033974,0.647240954113481,"weak"
"48","P30101","PDIA3",0.344333018608499,0.717440462122047,"weak"
"49","P31942","HNRNPH3",0.457017776083001,0.55638230400403,"noise"
"50","P78406","RAE1",0.647692663015211,0.508865271287389,"weak"
"51","P04792","HSPB1",0.335497328713375,0.541806432272647,"noise"
"52","P38646","HSPA9",0.378902720943432,0.662272100180709,"weak"
"53","Q06830","PRDX1",0.433026412925954,0.586644015085374,"noise"
"54","P08670","VIM",0.109209926220514,0.854095194717399,"noise"
"55","P12236","SLC25A6",0.418863707872082,0.655036349129981,"weak"
"56","P31943","HNRNPH1",0.442427387935044,0.487712551624257,"noise"
"57","Q01469","FABP5",0.34379981315672,0.674550904340382,"weak"
"58","A0A087X0X3","HNRNPM",0.470151137076482,0.494235600284825,"noise"
"59","O43278","SPINT1",0.516853380378042,0.756350466296274,"weak"
"60","O75400","PRPF40A",0.615966334252685,0.38020943977581,"weak"
"61","P35232","PHB",0.424932075889564,0.548775786376649,"noise"
"62","P14618","PKM",0.264885634453822,0.694949460236312,"noise"
"63","O75533","SF3B1",0.495321128431087,0.561504171176884,"noise"
"64","P52597","HNRNPF",0.333949698896363,0.571613329215105,"noise"
"65","Q5QNW6","H2BC18",0.314400694570469,0.668569364463707,"weak"
"66","F8VVM2","SLC25A3",0.37110292657672,0.667025037184693,"weak"
"67","P69905","HBA1",0.406315336340557,0.648315991654728,"weak"
"68","Q6ZXV5","TMTC3",0.501033244591446,0.620858929984201,"weak"
"69","Q14126","DSG2",0.485532505952022,0.552100587889851,"noise"
"70","Q6ZVX7","NCCRP1",0.254507753539788,0.674463588547034,"noise"
"71","Q12906","ILF3",0.458592305788885,0.509796748357446,"noise"
"72","Q01085","TIAL1",0.503987014148667,0.444307019200036,"noise"
"73","P01037","CST1",0.550383264579491,0.503728129610539,"noise"
"74","H7C463","IMMT",0.684184128063403,0.34693576261024,"weak"
"75","F8W8I6","TIA1",0.566194900838947,0.398973057873833,"noise"
"76","P61978","HNRNPK",0.382248255450071,0.610782149419619,"noise"
"77","B4DY08","HNRNPC",0.366905348329625,0.51806950322178,"noise"
"78","Q9Y230","RUVBL2",0.534009354709187,0.489976922811583,"noise"
"79","Q00839","HNRNPU",0.363584501661889,0.543892511006129,"noise"
"80","P62269","RPS18",0.540674262097292,0.499794090392939,"noise"
"81","A0A5F9ZHM4","LDHB",0.596913059061938,0.613933642088905,"weak"
"82","A0A0A0MR02","VDAC2",0.427405340957786,0.49780446113675,"noise"
"83","P62249","RPS16",0.555685553907421,0.454505739824338,"noise"
"84","P04075","ALDOA",0.365592692990373,0.743044409916515,"weak"
"85","P04040","CAT",0.287785485886867,0.635624293985817,"noise"
"86","Q9NVI7","ATAD3A",0.261468885853199,0.563994560372188,"noise"
"87","P84243","H3-3A",0.373681246713645,0.662398481899203,"weak"
"88","P00558","PGK1",0.447759177336128,0.576804016718754,"noise"
"89","P31947","SFN",0.384213099066967,0.51114838086999,"noise"
"90","P00338","LDHA",0.268543377157603,0.807622811673115,"noise"
"91","P49411","TUFM",0.373121437176434,0.558274171825556,"noise"
"92","P23396","RPS3",0.325088671917452,0.61249566879231,"noise"
"93","P58107","EPPK1",0.254706515907163,0.666267498644978,"noise"
"94","P05023","ATP1A1",0.571458936666679,0.613223813284852,"noise"
"95","Q9H0U4","RAB1B",0.498229619807174,0.532268894833657,"noise"
"96","A0A087WVQ6","CLTC",0.459822891686565,0.712451366891725,"weak"
"97","P14625","HSP90B1",0.408629457013225,0.639777805661521,"weak"
"98","P07900","HSP90AA1",0.417770067969086,0.69259510157444,"weak"
"99","P35221","CTNNA1",0.405030465134318,0.632323937910555,"weak"
"100","P49327","FASN",0.497963710079236,0.611288802169408,"noise"
"101","Q02878","RPL6",0.49704691167834,0.57046565641251,"noise"
"102","P13639","EEF2",0.309143977643894,0.738240601306477,"weak"
"103","P53985","SLC16A1",0.675519741341359,0.472609069563334,"weak"
"104","P06733","ENO1",0.191234195308334,0.834118114759321,"noise"
"105","P62937","PPIA",0.388668498006456,0.599925113113016,"noise"
"106","P62701","RPS4X",0.424129152045811,0.513141308418146,"noise"
"107","Q9NZT1","CALML5",0.220599105080107,0.718497529192961,"noise"
"108","P11279","LAMP1",NA,NA,"noise"
"109","P62277","RPS13",0.463975376168042,0.539698515891313,"noise"
"110","P09382","LGALS1",0.450511533043198,0.504823639940962,"noise"
"111","P62913","RPL11",NA,NA,"noise"
"112","P27482","CALML3",0.439556268070451,0.542191051395774,"noise"
"113","P20700","LMNB1",0.337235871475238,0.527109633428346,"noise"
"114","Q01650","SLC7A5",0.713092616534054,0.732926981306269,"strong"
"115","O43240","KLK10",0.489086508289842,0.386477433878822,"noise"
"116","P16403","H1-2",0.323641820412552,0.635655520550978,"weak"
"117","P56537","EIF6",0.331304248398103,0.612485901081508,"noise"
"118","P40926","MDH2",0.239748590901002,0.694157825745964,"noise"
"119","P22223","CDH3",0.719691860279389,0.720417653230656,"strong"
"120","P42167","TMPO",0.38353096939784,0.611830066885517,"noise"
"121","P06702","S100A9",0.262127606102566,0.725220085504477,"noise"
"122","A0A087WTT1","PABPC1",0.560540316057013,0.526218317100804,"noise"
"123","P62244","RPS15A",0.522978825688735,0.37815280915847,"noise"
"124","P35658","NUP214",0.627320979016888,0.370611836438006,"weak"
"125","P78527","PRKDC",0.607749175742139,0.500717158256833,"weak"
"126","P02768","ALB",0.122646264262098,0.910988918883431,"noise"
"127","P07737","PFN1",0.26654558738206,0.664457502487982,"noise"
"128","Q92945","KHSRP",0.402612487933498,0.510668473038585,"noise"
"129","P26373","RPL13",0.521707893806289,0.535218261547554,"noise"
"130","Q14677","CLINT1",0.661381780897822,0.316260713432058,"noise"
"131","H0Y8G5","HNRNPD",0.470561734030814,0.424066110507338,"noise"
"132","Q13148","TARDBP",0.415645872437517,0.529139498704493,"noise"
"133","E7EQB2","LTF",0.218325823022759,0.716045413657885,"noise"
"134","O43175","PHGDH",0.600696979264278,0.547157110058472,"weak"
"135","P04843","RPN1",0.412885293945047,0.579880857607478,"noise"
"136","J3KRX5","RPL17",0.492075546271556,0.604223643461244,"noise"
"137","P31151","S100A7",0.217300909785481,0.764000275019065,"noise"
"138","C9JD32","RPL23",0.503127999275221,NA,"noise"
"139","P61353","RPL27",0.430985055957533,0.601626318843697,"noise"
"140","P46781","RPS9",0.423580737693666,0.616788505238204,"weak"
"141","H0Y4R1","IMPDH2",0.648944171698562,0.401840297971527,"weak"
"142","P14866","HNRNPL",0.609445186697056,0.502914832722414,"weak"
"143","P32119","PRDX2",0.292441112765506,0.678883097245164,"noise"
"144","P61626","LYZ",0.363238017258882,0.6818471290828,"weak"
"145","O43143","DHX15",NA,NA,"noise"
"146","P62906","RPL10A",0.425310924981192,0.619875046597131,"weak"
"147","P22735","TGM1",0.1687830891797,0.729302330993273,"noise"
"148","P51991","HNRNPA3",0.441976143464206,0.598117446031579,"noise"
"149","Q07065","CKAP4",NA,NA,"noise"
"150","P26368","U2AF2",NA,0.489737164121261,"noise"
"151","P27797","CALR",0.366170663139817,0.629336638665796,"weak"
"152","P19338","NCL",0.463094498560527,0.660774995068541,"weak"
"153","Q15717","ELAVL1",0.456390653338306,0.501242269145081,"noise"
"154","P26641","EEF1G",0.416836559176405,0.503640482123183,"noise"
"155","P30050","RPL12",0.435324873420436,0.547403858765791,"noise"
"156","Q15029","EFTUD2",0.538649477257523,0.423189111054831,"noise"
"157","Q15084","PDIA6",0.507598784276923,0.554386745778169,"noise"
"158","Q15365","PCBP1",0.443430751723969,0.495404463600041,"noise"
"159","P07237","P4HB",0.29165571124906,0.74285746655217,"noise"
"160","P83731","RPL24",0.496756308057417,0.54594634420308,"noise"
"161","Q13838","DDX39B",0.568427379883558,0.604573769370238,"noise"
"162","P36542","ATP5F1C",0.548037195109065,0.392127733917151,"noise"
"163","P09758","TACSTD2",0.641422992160513,0.541366071473798,"weak"
"164","P34897","SHMT2",0.509020468565876,0.560551478462792,"noise"
"165","P62280","RPS11",0.533591544885998,0.508527838565785,"noise"
"166","J3KTA4","DDX5",0.579631353408,0.404772684694671,"weak"
"167","P51148","RAB5C",0.504662028122013,0.620572694049782,"weak"
