colname,selectcol,new_colname
Abundance.F16.Light.Sample,Yes,Control.d.IDIRT_buffer19
Abundance.F16.Heavy.Sample,Yes,Sample.d.IDIRT_buffer19
Abundance.F17.Light.Sample,Yes,Control.a.IDIRT_buffer25
Abundance.F17.Heavy.Sample,Yes,Sample.a.IDIRT_buffer25
Abundance.F18.Light.Sample,Yes,Control.b.IDIRT_buffer25
Abundance.F18.Heavy.Sample,Yes,Sample.b.IDIRT_buffer25
Abundance.F19.Light.Sample,Yes,Control.c.IDIRT_buffer25
Abundance.F19.Heavy.Sample,Yes,Sample.c.IDIRT_buffer25
Abundance.F20.Light.Sample,Yes,Control.d.IDIRT_buffer25
Abundance.F20.Heavy.Sample,Yes,Sample.d.IDIRT_buffer25
Abundance.F21.Light.Sample,Yes,Control.a.IDIRT_buffer29
Abundance.F21.Heavy.Sample,Yes,Sample.a.IDIRT_buffer29
Abundance.F22.Light.Sample,Yes,Control.b.IDIRT_buffer29
Abundance.F22.Heavy.Sample,Yes,Sample.b.IDIRT_buffer29
Abundance.F23.Light.Sample,Yes,Control.c.IDIRT_buffer29
Abundance.F23.Heavy.Sample,Yes,Sample.c.IDIRT_buffer29
Abundance.F24.Light.Sample,Yes,Control.d.IDIRT_buffer29
Abundance.F24.Heavy.Sample,Yes,Sample.d.IDIRT_buffer29
Abundance.F25.Light.Sample,Yes,Sample.a.Swap_buffer02
Abundance.F25.Heavy.Sample,Yes,Control.a.Swap_buffer02
Abundance.F26.Light.Sample,Yes,Sample.b.Swap_buffer02
Abundance.F26.Heavy.Sample,Yes,Control.b.Swap_buffer02
Abundance.F27.Light.Sample,Yes,Sample.c.Swap_buffer02
Abundance.F27.Heavy.Sample,Yes,Control.c.Swap_buffer02
Abundance.F28.Light.Sample,Yes,Sample.d.Swap_buffer02
Abundance.F28.Heavy.Sample,Yes,Control.d.Swap_buffer02
Abundance.F29.Light.Sample,Yes,Sample.a.Swap_buffer3
Abundance.F29.Heavy.Sample,Yes,Control.a.Swap_buffer3
Abundance.F30.Light.Sample,Yes,Sample.b.Swap_buffer3
Abundance.F30.Heavy.Sample,Yes,Control.b.Swap_buffer3
Abundance.F31.Light.Sample,Yes,Sample.c.Swap_buffer3
Abundance.F31.Heavy.Sample,Yes,Control.c.Swap_buffer3
Abundance.F32.Light.Sample,Yes,Sample.d.Swap_buffer3
Abundance.F32.Heavy.Sample,Yes,Control.d.Swap_buffer3
Abundance.F33.Light.Sample,Yes,Sample.a.Swap_buffer16
Abundance.F33.Heavy.Sample,Yes,Control.a.Swap_buffer16
Abundance.F34.Light.Sample,Yes,Sample.b.Swap_buffer16
Abundance.F34.Heavy.Sample,Yes,Control.b.Swap_buffer16
Abundance.F35.Light.Sample,Yes,Sample.c.Swap_buffer16
Abundance.F35.Heavy.Sample,Yes,Control.c.Swap_buffer16
Abundance.F36.Light.Sample,Yes,Sample.d.Swap_buffer16
Abundance.F36.Heavy.Sample,Yes,Control.d.Swap_buffer16
Abundance.F37.Light.Sample,Yes,Sample.a.Swap_buffer19
Abundance.F37.Heavy.Sample,Yes,Control.a.Swap_buffer19
Abundance.F38.Light.Sample,Yes,Sample.b.Swap_buffer19
Abundance.F38.Heavy.Sample,Yes,Control.b.Swap_buffer19
Abundance.F39.Light.Sample,Yes,Sample.c.Swap_buffer19
Abundance.F39.Heavy.Sample,Yes,Control.c.Swap_buffer19
Abundance.F40.Light.Sample,Yes,Sample.d.Swap_buffer19
Abundance.F40.Heavy.Sample,Yes,Control.d.Swap_buffer19
Abundance.F41.Light.Sample,Yes,Sample.a.Swap_buffer25
Abundance.F41.Heavy.Sample,Yes,Control.a.Swap_buffer25
Abundance.F42.Light.Sample,Yes,Sample.b.Swap_buffer25
Abundance.F42.Heavy.Sample,Yes,Control.b.Swap_buffer25
