Accession,Gene name,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
O00425,IGF2BP3,0,0.00,0.00,0.75,1.89,0.19,9.14,0.00,0.00,0.25,6.86,0.00,0.00
O75400,PRPF40A,0,0.00,0.00,0.04,26.47,0.32,3.06,0.06,22.38,0.17,14.92,0.00,0.00
P32322,PYCR1,0,0.00,0.00,0.57,-0.83,0.74,1.53,0.17,8.10,0.58,-0.44,0.00,0.00
P27635,RPL10,0,0.00,0.00,0.37,0.74,0.45,-0.08,0.00,0.00,0.30,3.44,0.58,1.15
P09382,LGALS1,0,0.00,0.00,0.52,-0.32,0.46,-0.54,0.64,0.77,0.50,-0.72,0.55,-0.83
H0Y4R1,IMPDH2,0,0.00,0.00,0.31,3.93,0.40,-0.18,0.00,0.00,0.40,0.47,0.56,-0.16
P04279,SEMG1,0,0.00,0.00,0.67,-0.69,0.00,0.00,0.92,2.86,0.00,0.00,0.00,0.00
E9PQD7,RPS2,0,0.00,0.00,0.51,-0.18,0.47,-0.60,0.48,-0.21,0.51,-0.84,0.63,0.81
P50502,ST13,0,0.00,0.00,0.44,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E9PLL6,RPL27A,0,0.00,0.00,0.44,1.34,0.37,0.46,0.58,1.57,0.39,0.76,0.00,0.00
J3QQQ9,3 SV,0,0.00,0.00,0.64,-0.63,0.62,0.56,0.41,-0.16,0.41,-0.79,0.00,0.00
P35658,NUP214,0,0.00,0.00,0.00,0.00,0.47,-0.67,0.00,0.00,0.00,0.00,0.00,0.00
P19474,TRIM21,0,0.00,0.00,0.00,0.00,0.20,9.90,0.00,0.00,0.18,11.75,0.21,9.21
P14866,HNRNPL,0,0.00,0.00,0.00,0.00,0.51,-0.83,0.00,0.00,0.51,-0.84,0.00,0.00
Q96EP5,DAZAP1,0,0.00,0.00,0.00,0.00,0.49,-0.78,0.39,0.34,0.23,6.04,0.48,-0.84
P31942,HNRNPH3,0,0.00,0.00,0.00,0.00,0.69,-0.46,0.55,-0.75,0.51,-0.79,0.34,-0.06
P38919,EIF4A3,0,0.00,0.00,0.00,0.00,0.51,-0.79,0.00,0.00,0.53,-0.84,0.00,0.00
O43809,NUDT21,0,0.00,0.00,0.00,0.00,0.45,-0.54,0.00,0.00,0.46,-0.59,0.35,1.99
Q9NVI7,ATAD3A,0,0.00,0.00,0.00,0.00,0.34,-0.43,0.00,0.00,0.39,0.27,0.34,0.19
Q9UMS4,PRPF19,0,0.00,0.00,0.00,0.00,0.47,-0.67,0.00,0.00,0.52,-0.85,0.00,0.00
O60232,ZNRD2,0,0.00,0.00,0.00,0.00,0.22,7.92,0.00,0.00,0.25,6.24,0.00,0.00
Q9BYJ9,YTHDF1,0,0.00,0.00,0.00,0.00,0.54,0.05,0.00,0.00,0.00,0.00,0.00,0.00
Q92841,DDX17,0,0.00,0.00,0.00,0.00,0.53,-0.84,0.00,0.00,0.54,-0.82,0.50,-0.84
P55795,HNRNPH2,0,0.00,0.00,0.00,0.00,0.36,1.29,0.00,0.00,0.30,5.92,0.00,0.00
Q13310,PABPC4,0,0.00,0.00,0.00,0.00,0.46,-0.55,0.00,0.00,0.65,2.45,0.00,0.00
P11908,PRPS2,0,0.00,0.00,0.00,0.00,0.26,4.94,0.00,0.00,0.32,3.04,0.15,8.08
P12814,ACTN1,0,0.00,0.00,0.00,0.00,0.56,0.58,0.00,0.00,0.52,-0.80,0.00,0.00
A0A0J9YYL3,PUF60,0,0.00,0.00,0.00,0.00,0.65,1.76,0.00,0.00,0.46,-0.22,0.00,0.00
P20073,ANXA7,0,0.00,0.00,0.00,0.00,0.35,1.07,0.41,0.34,0.00,0.00,0.00,0.00
O43143,DHX15,0,0.00,0.00,0.00,0.00,0.46,-0.54,0.00,0.00,0.42,0.07,0.52,-0.84
Q15393,SF3B3,0,0.00,0.00,0.00,0.00,0.44,-0.13,0.00,0.00,0.46,-0.43,0.00,0.00
P35637,FUS,0,0.00,0.00,0.00,0.00,0.28,6.16,0.30,-0.75,0.44,-0.53,0.00,0.00
F8VZX2,PCBP2,0,0.00,0.00,0.00,0.00,0.49,-0.40,0.00,0.00,0.57,0.13,0.00,0.00
F8WJN3,CPSF6,0,0.00,0.00,0.00,0.00,0.52,-0.69,0.00,0.00,0.46,-0.73,0.00,0.00
Q9Y5S9,RBM8A,0,0.00,0.00,0.00,0.00,0.57,-0.57,0.00,0.00,0.59,-0.43,0.46,-0.74
Q86U42,PABPN1,0,0.00,0.00,0.00,0.00,0.57,-0.81,0.00,0.00,0.53,-0.85,0.00,0.00
Q15365,PCBP1,0,0.00,0.00,0.00,0.00,0.39,2.15,0.00,0.00,0.41,0.16,0.00,0.00
Q13435,SF3B2,0,0.00,0.00,0.00,0.00,0.60,-0.80,0.00,0.00,0.47,-0.81,0.00,0.00
Q16629,SRSF7,0,0.00,0.00,0.00,0.00,0.54,-0.83,0.00,0.00,0.51,-0.84,0.85,1.48
P40429,RPL13A,0,0.00,0.00,0.00,0.00,0.35,2.03,0.47,-0.77,0.49,-0.79,0.00,0.00
P78527,PRKDC,0,0.00,0.00,0.00,0.00,0.55,-0.68,0.70,1.45,0.52,-0.43,0.55,-0.20
P36383,GJC1,0,0.00,0.00,0.00,0.00,0.45,-0.48,0.00,0.00,0.50,-0.79,0.00,0.00
Q96DI7,SNRNP40,0,0.00,0.00,0.00,0.00,0.53,-0.85,0.00,0.00,0.45,-0.76,0.15,13.43
P62316,SNRPD2,0,0.00,0.00,0.00,0.00,0.46,-0.43,0.00,0.00,0.47,-0.47,0.00,0.00
Q96AG4,LRRC59,0,0.00,0.00,0.00,0.00,0.37,3.34,0.00,0.00,0.52,-0.85,0.00,0.00
Q8N1F7,NUP93,0,0.00,0.00,0.00,0.00,0.21,8.52,0.00,0.00,0.18,10.46,0.00,0.00
P83731,RPL24,0,0.00,0.00,0.00,0.00,0.44,-0.61,0.00,0.00,0.43,-0.26,0.67,1.64
Q5VV87,MGST3,0,0.00,0.00,0.00,0.00,0.42,2.16,0.00,0.00,0.39,0.17,0.00,0.00
H7C463,IMMT,0,0.00,0.00,0.00,0.00,0.14,12.85,0.00,0.00,0.14,15.06,0.03,27.00
Q12874,SF3A3,0,0.00,0.00,0.00,0.00,0.63,-0.15,0.00,0.00,0.53,-0.33,0.00,0.00
P46940,IQGAP1,0,0.00,0.00,0.00,0.00,0.36,4.03,0.00,0.00,0.00,0.00,0.00,0.00
A0A2R8Y849,RPS24,0,0.00,0.00,0.00,0.00,0.53,-0.84,0.54,-0.69,0.58,-0.77,0.00,0.00
P46783,RPS10,0,0.00,0.00,0.00,0.00,0.44,-0.45,0.00,0.00,0.56,-0.32,0.00,0.00
E9PK91,BCLAF1,0,0.00,0.00,0.00,0.00,0.48,0.33,0.00,0.00,0.33,1.84,0.00,0.00
K7ERI7,RPL22,0,0.00,0.00,0.00,0.00,0.63,1.08,0.00,0.00,0.50,0.11,0.00,0.00
Q9Y277,VDAC3,0,0.00,0.00,0.00,0.00,0.38,-0.57,0.00,0.00,0.50,-0.75,0.00,0.00
X6RDA4,PSPC1,0,0.00,0.00,0.00,0.00,0.39,3.75,0.00,0.00,0.00,0.00,0.00,0.00
E5RI99,RPL30,0,0.00,0.00,0.00,0.00,0.35,4.39,0.00,0.00,0.40,-0.48,0.00,0.00
E7EPA1,PRPSAP2,0,0.00,0.00,0.00,0.00,0.24,7.85,0.00,0.00,0.23,8.63,0.00,0.00
B5MDF5,RAN,0,0.00,0.00,0.00,0.00,0.43,-0.82,0.00,0.00,0.41,0.53,0.00,0.00
O75494,SRSF10,0,0.00,0.00,0.00,0.00,0.57,-0.69,0.00,0.00,0.62,0.73,0.00,0.00
P26196,DDX6,0,0.00,0.00,0.00,0.00,0.24,7.56,0.00,0.00,0.00,0.00,0.00,0.00
Q12996,CSTF3,0,0.00,0.00,0.00,0.00,0.44,-0.81,0.00,0.00,0.51,-0.85,0.00,0.00
Q9ULV4,CORO1C,0,0.00,0.00,0.00,0.00,0.41,-0.55,0.00,0.00,0.40,0.75,0.00,0.00
Q9UKF6,CPSF3,0,0.00,0.00,0.00,0.00,0.43,-0.20,0.00,0.00,0.47,-0.68,0.00,0.00
P62306,SNRPF,0,0.00,0.00,0.00,0.00,0.76,2.87,0.00,0.00,0.64,0.27,0.00,0.00
P84098,RPL19,0,0.00,0.00,0.00,0.00,0.22,10.07,0.00,0.00,0.33,1.79,0.00,0.00
Q02978,SLC25A11,0,0.00,0.00,0.00,0.00,0.54,-0.78,0.00,0.00,0.54,-0.82,0.52,-0.85
P62304,SNRPE,0,0.00,0.00,0.00,0.00,0.49,-0.83,0.00,0.00,0.54,-0.79,0.00,0.00
A0A2R8Y811,RPS14,0,0.00,0.00,0.00,0.00,0.40,-0.62,0.59,0.30,0.00,0.00,0.00,0.00
Q9UQ35,SRRM2,0,0.00,0.00,0.00,0.00,0.53,-0.62,0.00,0.00,0.53,-0.84,0.00,0.00
F8VRN8,LIMA1,0,0.00,0.00,0.00,0.00,0.38,0.86,0.00,0.00,0.16,9.04,0.00,0.00
Q07666,KHDRBS1,0,0.00,0.00,0.00,0.00,0.47,-0.73,0.00,0.00,0.56,-0.09,0.00,0.00
O43660,PLRG1,0,0.00,0.00,0.00,0.00,0.53,-0.75,0.00,0.00,0.50,-0.80,0.00,0.00
E7ET15,U2SURP,0,0.00,0.00,0.00,0.00,0.32,4.74,0.00,0.00,0.47,-0.05,0.00,0.00
Q9H307,PNN,0,0.00,0.00,0.00,0.00,0.70,2.01,0.00,0.00,0.64,0.26,0.00,0.00
Q9Y3U8,RPL36,0,0.00,0.00,0.00,0.00,0.24,5.91,0.00,0.00,0.32,2.70,0.00,0.00
A0A0A0MRM8,MYO6,0,0.00,0.00,0.00,0.00,0.16,13.20,0.00,0.00,0.36,1.75,0.00,0.00
Q01081,U2AF1,0,0.00,0.00,0.00,0.00,0.23,5.05,0.00,0.00,0.47,-0.50,0.00,0.00
Q9H0U3,MAGT1,0,0.00,0.00,0.00,0.00,0.45,-0.74,0.00,0.00,0.00,0.00,0.59,1.30
M0R3D6,RPL18A,0,0.00,0.00,0.00,0.00,0.49,-0.82,0.00,0.00,0.41,0.15,0.00,0.00
Q9UN86,G3BP2,0,0.00,0.00,0.00,0.00,0.53,-0.84,0.00,0.00,0.00,0.00,0.00,0.00
P18077,RPL35A,0,0.00,0.00,0.00,0.00,0.47,-0.82,0.00,0.00,0.53,-0.83,0.00,0.00
P29692,EEF1D,0,0.00,0.00,0.00,0.00,0.00,0.00,0.37,-0.03,0.00,0.00,0.00,0.00
Q13151,HNRNPA0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.46,-0.26,0.00,0.00,0.00,0.00
P48047,ATP5PO,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,8.62,0.00,0.00
Q9Y6Y0,IVNS1ABP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,14.20,0.00,0.00
B4DLN1,B4DLN1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,-0.82,0.00,0.00
P30048,PRDX3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,2.94,0.00,0.00
Q13283,G3BP1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,-0.80,0.00,0.00
P02787,TF,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,-0.85
