ACCESSION,name
P46781,RPS9
C9JRZ6,CHCHD3
P62266,RPS23
P50914,RPL14
P28074,PSMB5
Q14697,GANAB
Q14697,GANAB
P34897,SHMT2
P34897,SHMT2
P35030,PRSS3
P62280,RPS11
G3V279,ERH
P51572,BCAP31
H7C463,IMMT
P84243,H3-3B
P84243,H3-3B
P84243,H3-3B
P84243,H3-3A
P84243,H3-3A
P62081,RPS7
Q7Z3B4,NUP54
J3QQQ9,None
I3L3P7,RPS15A
H7C2W9,RPL31
P62937,PPIA
P62937,PPIA
Q96FQ6,S100A16
P62906,RPL10A
B4DR61,SEC61A1
M0R0R2,RPS5
J3KN67,TPM3
P23490,LORICRIN
Q6NUK1,SLC25A24
I3L192,BSG
I3L192,BSG
P18669,PGAM1
H0YL69,PSMA4
P16422,EPCAM
Q6P2Q9,PRPF8
Q5SZX6,CCT3
P68133,ACTA1
Q9Y265,RUVBL1
P05388,RPLP0
P01040,CSTA
P05089,ARG1
P08865,RPSA
P38919,EIF4A3
P38919,EIF4A3
Q15365,PCBP1
A0A1B0GVD5,CTSD
A0A1B0GVD5,CTSD
P78386,KRT85
P01857,IGHG1
P07737,PFN1
P09211,GSTP1
P09211,GSTP1
P60842,EIF4A1
P04843,RPN1
C9JD32,RPL23
P26373,RPL13
P83731,RPL24
P83731,RPL24
Q07021,C1QBP
P30050,RPL12
Q02878,RPL6
P00403,MT-CO2
P00403,MT-CO2
P61353,RPL27
P04844,RPN2
Q99959,PKP2
Q14974,KPNB1
O43852,CALU
P17931,LGALS3
P26641,EEF1G
Q96AE4,FUBP1
P42766,RPL35
A0A286YEY4,IGHG2
P78371,CCT2
P78371,CCT2
P21333,FLNA
P49748,ACADVL
F5H282,TCP1
P06744,GPI
J3KRX5,RPL17
Q86YZ3,HRNR
P04279,SEMG1
Q8N1N4,KRT78
P06702,S100A9
P48594,SERPINB4
Q96QA5,GSDMA
P67809,YBX1
Q99567,NUP88
P14866,HNRNPL
P20073,ANXA7
P01834,None
P19338,NCL
O43809,NUDT21
E7EQB2,LTF
E7EQB2,LTF
P68871,HBB
F8VZX2,PCBP2
P35637,FUS
A0A0C4DGN4,ZG16B
A0A0C4DGN4,ZG16B
M0QXN5,NUP62
P63104,YWHAZ
P48047,ATP5PO
H3BRG4,UQCRC2
Q9BPW8,NIPSNAP1
G8JLG2,CDSN
Q15323,KRT31
P32969,RPL9
B4DY09,ILF2
Q9C075,KRT23
Q9UJS0,SLC25A13
Q10570,CPSF1
Q7Z3Y8,KRT27
Q9UI42,CPA4
Q9Y5S9,RBM8A
Q9Y5S9,RBM8A
E7EQ64,PRSS1
Q86U42,PABPN1
P11717,IGF2R
P62491,RAB11A
E9PKZ0,RPL8
P40429,RPL13A
P46940,IQGAP1
P12273,PIP
P04004,VTN
Q92841,DDX17
