Accession,Gene names,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
,,,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor
P21796,VDAC1,2,0.81,10.77,0.63,1.23,0.63,0.24,0.63,1.18,0.71,4.86,0.65,1.55
P26599,PTBP1,2,0.78,10.34,0.56,-0.35,0.43,-0.64,0.73,3.3,0.53,-0.14,0.36,0.4
P05109,S100A8,2,0.75,7.33,0.64,1.12,0.44,-0.6,0.25,4.83,0.71,1.99,0.69,3.12
P35221,CTNNA1,2,0.51,-0.69,0.49,-0.46,0.3,2.95,0,0,0.71,5.05,0.74,3.64
P29692,EEF1D,2,0.81,1.88,0,0,0.44,0.13,0.53,-0.73,1,11.06,0.75,4.67
Q12906,ILF3,2,0.63,-0.35,0.89,17.47,0.57,-0.44,0.28,5.36,0.6,0.84,0.67,3.58
D6RG13,RPS3A,2,0.59,-0.57,0.34,-0.81,0.65,3.61,0.76,1.08,0.74,4.87,0.28,5.53
E9PB61,ALYREF,2,1,19.61,0.57,-0.67,0.71,3.52,0,0,0.52,-0.78,0,0
P78527,PRKDC,2,0.77,8.76,0.24,2.6,0.47,-0.85,0.81,8.77,0.46,-0.74,0.38,0.73
P36542,ATP5F1C,2,0.48,-0.58,0.49,-0.28,0.63,3.62,0.76,8.8,0.44,0.45,0.55,-0.47
A0A087WTT1,PABPC1,2,1,4.79,0.74,0.75,0.53,0.77,0.78,5.19,0.67,1.11,0.66,2.28
Q9UMS4,PRPF19,2,1,30.42,1,30.46,0.38,0.06,0,0,0.65,0.32,0.61,-0.43
I3L3P7,RPS15A,2,0.63,2.13,0.61,0.96,0.75,5.97,0.61,0.92,0.8,10.19,0.77,2.48
B4DR61,SEC61A1,2,0.8,5.08,0,0,0.27,4.99,0,0,0.88,15.26,0.43,0.31
J3KN67,TPM3,2,1,11.18,0,0,0.37,0.56,0,0,1,30.47,0,0
Q6NUK1,SLC25A24,2,0.49,-0.85,0.56,-0.06,0,0,0.91,17.89,0.49,-0.4,0.7,5.44
P32969,RPL9,2,0,0,0,0,0.71,6.77,0,0,0.77,9.1,0,0
P62316,SNRPD2,2,0,0,0,0,0.56,1.55,0,0,0.78,3.48,1,22.9
P56537,EIF6,2,0,0,0,0,0.57,-0.62,0,0,0.75,6.85,0.9,18.65
P27824,CANX,2,0,0,0,0,0.83,10.12,0,0,0.61,3.39,0.58,0.18
O00571,DDX3X,2,0,0,0,0,0.49,-0.27,1,25.33,0.7,3.18,0.66,2.36
Q7Z739,YTHDF3,1,0.52,-0.83,0.29,-0.11,0.49,-0.85,0,0,1,6.46,0,0
A0A0G2JIW1,HSPA1B,1,0.62,0.11,0.61,0.73,0.56,-0.01,0.55,-0.55,0.67,1.46,0.68,3.2
Q15149,PLEC,1,0.79,8,0.24,3.03,0.33,4.14,0,0,0.64,0.36,0.56,-0.34
Q14126,DSG2,1,0.53,-0.21,0.38,0.1,0.66,1.73,1,10.95,0.5,-0.84,0.47,-0.85
P04075,ALDOA,1,0.58,-0.5,0.52,-0.35,0.64,0.02,0.47,-0.76,0.68,2.77,0.77,6.73
P31942,HNRNPH3,1,0.48,-0.85,0.73,-0.41,0.41,-0.34,0.44,-0.36,0.73,5.41,0.42,-0.58
A0A087WX29,TARDBP,1,0.74,5.3,0.53,-0.62,0.45,-0.78,0.51,-0.4,0.58,-0.3,0.47,-0.51
O43278,SPINT1,1,0.56,-0.34,0.69,3.12,0.6,0.31,0.21,8.33,0.55,-0.73,0.41,-0.54
P23528,CFL1,1,0.86,2.81,0,0,0.46,-0.77,0.35,3.24,0.83,8.59,0.65,2.03
P31949,S100A1,1,0.56,1.97,0.47,-0.84,0.26,1.66,0,0,0.7,5.27,0.55,-0.76
Q15233,NONO,1,1,30.42,0,0,0.39,-0.33,0,0,0.38,-0.33,0.53,-0.85
H0YHA7,RPL18,1,0.41,-0.15,0.55,-0.81,0.6,0.38,0.78,6.07,0.61,0.71,0.4,0.23
A0A2R8Y6J3,RPL5,1,0.55,0.72,0.47,-0.06,0.64,1.17,0.75,10.11,0.56,-0.42,0.51,-0.28
Q14697,GANAB,1,0.7,3.02,0.4,0.15,0.49,-0.07,0,0,0.67,1.72,0.43,-0.74
G3V279,ERH,1,0.49,-0.85,0.39,-0.21,0.47,-0.64,0,0,0.61,-0.06,0.61,3.76
H7C2W9,RPL31,1,0.59,1.83,0.47,-0.85,0.57,-0.12,0.51,-0.79,0.63,0.61,0.96,26.28
P09211,GSTP1,1,0,0,1,7.17,0,0,0,0,0.52,0.16,0.46,-0.85
P26373,RPL13,1,0,0,0.46,0.99,0.6,0.61,0.55,-0.39,0.74,4.3,0.61,0.67
Q99959,PKP2,1,0,0,0.39,2.4,0,0,0,0,0,0,0.77,7.26
J3KRX5,RPL17,1,0,0,0.51,-0.73,0,0,1,10.85,0,0,0,0
P01834,None,1,0,0,0,0,0.2,11.05,0,0,1,8.9,0,0
P46940,IQGAP1,1,0,0,0,0,0.44,-0.74,0,0,0.54,-0.61,1,18.88
Q92542,NCSTN,1,0,0,0,0,1,32.8,0,0,0,0,0,0
E7EPA1,PRPSAP2,1,0,0,0,0,0.88,21.48,0,0,0.57,-0.27,0,0
O75635,SERPINB7,1,0,0,0,0,0,0,0.9,18.45,0,0,0,0
P0DPA2,VSIG8,1,0,0,0,0,0,0,0,0,0,0,1,22.9
P42704,LRPPRC,0,0.01,26.09,0.02,25.58,0.01,28.03,0,27.31,0.03,23.17,0.04,23.94
P35527,KRT9,0,0.05,20.53,0.03,23.26,0.01,27.01,0.01,26.3,0.04,23.11,0.03,24.8
P35908,KRT2,0,0.09,17.49,0.06,21.84,0.05,22.39,0.03,24.23,0.1,11.2,0.06,16.35
P05787,KRT8,0,0,26.79,0.02,24.91,0,28.37,0,27.78,0.01,26.3,0.01,27.1
P15924,DSP,0,0.25,5.36,0.28,4.26,0.15,11.71,0.09,16.1,0.22,4.55,0.27,4.22
P13645,KRT10,0,0.03,23.17,0.02,25.56,0.02,26.64,0.01,26.47,0.05,21.8,0.04,23.89
P05783,KRT18,0,0.06,19.48,0.25,5.8,0.13,14.98,0.03,23.5,0.17,9.75,0.17,10.02
H0YFD6,HADHA,0,0.01,26.17,0.01,26.57,0.05,23.32,0.01,26.44,0.12,14.31,0.02,25.87
P02533,KRT14,0,0.04,21.77,0.07,20.51,0.03,25.33,0.01,26.57,0.05,21,0.07,19.6
P08727,KRT19,0,0.07,19.65,0.16,3.62,0.04,23.88,0.01,26.33,0.1,15.6,0.12,14.57
P58107,EPPK1,0,0.28,3.5,0.22,6.91,0.16,11.64,0.12,15.32,0.31,2.38,0.25,3.26
P08779,KRT16,0,0.12,9.7,0.04,18.97,0.03,23.01,0.02,25.13,0.11,14.63,0.17,10.01
P13647,KRT5,0,0.02,24.39,0.01,26.01,0.02,25.89,0.01,26.74,0.04,21.39,0.03,24.63
P14923,JUP,0,0.61,0.62,0.42,-0.52,0.6,0.15,0.25,5.08,0.67,2.33,0.55,-0.11
P11142,HEL-S-72p,0,0.46,-0.81,0.44,-0.43,0.5,-0.83,0.34,1.12,0.46,-0.83,0.51,-0.85
P02538,KRT6A,0,0.14,8.99,0.16,11.81,0.22,7.68,0.14,13.42,0.2,7.28,0.16,11.34
P04259,KRT6B,0,0.09,14.44,0.07,17.08,0.03,25.43,0.06,21.92,0.13,13.14,0.09,16.99
P08729,KRT7,0,0.03,22.44,0.12,14.16,0.09,16.63,0.02,25.44,0.11,15.7,0.11,15.01
P55084,HADHB,0,0.21,9.63,0,0,0.42,-0.52,0.27,7,0.44,-0.61,0.38,0.51
P10809,HSPD1,0,0.48,-0.84,0.38,-0.84,0.49,-0.85,0.51,-0.84,0.53,-0.77,0.55,1.29
P11021,HEL-S-89n,0,0.61,-0.19,0.47,-0.83,0.62,1.09,0.51,-0.83,0.63,1.38,0.62,0.94
P68371,TUBB4B,0,0.69,2.46,0.55,-0.63,0.6,0.05,0.56,1.02,0.55,-0.75,0.5,-0.48
P68363,TUBA1B,0,0.44,-0.78,0.47,-0.81,0.51,-0.83,0.42,-0.08,0.54,-0.78,0.53,-0.74
Q01085,TIAL1,0,0.43,-0.57,0.43,-0.74,0.43,-0.56,0.28,3.1,0.36,-0.77,0.27,3.9
P56945,BCAR1,0,0.25,3.97,0.16,7.45,0.33,1.96,0.16,9.84,0.33,1.54,0.3,2.47
P04406,GAPDH,0,0.61,0.86,0.52,-0.75,0.44,-0.6,0.4,-0.22,0.61,0.41,0.62,2.88
Q9BUJ2,HNRNPUL1,0,0.3,2.62,0.22,4.34,0.38,0.01,0,0,0.27,3.34,0.3,1.21
Q04695,KRT17,0,0.06,19.62,0.05,21.94,0.02,26.33,0.04,23.49,0.07,19.2,0.08,19.05
C9JJX6,ARVCF,0,0.42,-0.73,0.28,3.64,0.39,0.14,0.01,26.64,0.63,1.73,0.65,-0.51
P08238,HSP90AB1,0,0.29,2.99,0.28,2.18,0.5,-0.79,0.48,-0.85,0.43,-0.7,0.49,-0.71
P22626,HNRNPA2B1,0,0.29,2.38,0.24,5.52,0.4,-0.21,0.36,0.77,0.45,-0.66,0.4,-0.08
P06576,ATP5F1B,0,0.45,-0.67,0.33,1.45,0.39,0.22,0.32,1.41,0.38,0.14,0.34,0.86
P25705,ATP5F1A,0,0.36,1.51,0.29,2.45,0.37,0.34,0.34,2.09,0.49,-0.84,0.39,-0.04
Q5D862,FLG2,0,0.01,25.57,0.01,26.24,0.02,27.21,0.01,26.62,0.02,24.95,0.01,26.63
P08670,HEL113,0,0.08,17.81,0.22,9.11,0.2,8.62,0.01,26.08,0.42,-0.36,0.21,5.82
P13646,KRT13,0,0.04,21.82,0.01,25.29,0.06,21.85,0.02,24.25,0.03,21.78,0.04,22.78
P38646,HSPA9,0,0.39,-0.09,0.39,-0.3,0.38,0.57,0.36,1.06,0.46,-0.75,0.43,-0.56
P07900,EL52,0,0.35,-0.26,0.48,-0.83,0.57,-0.2,0.32,2.29,0.57,-0.54,0.59,0.74
