Col_Name,Experiment_Name,Condition,Buffer,SWAP
Abundance.F37.Light.Sample.IDIRT_swap.19,B19_a,Sample,19,YES
Abundance.F37.Heavy.Control.IDIRT_swap.19,B19_a,Control,19,YES
Abundance.F38.Light.Sample.IDIRT_swap.19,B19_b,Sample,19,YES
Abundance.F38.Heavy.Control.IDIRT_swap.19,B19_b,Control,19,YES
Abundance.F39.Light.Sample.IDIRT_swap.19,B19_c,Sample,19,YES
Abundance.F39.Heavy.Control.IDIRT_swap.19,B19_c,Control,19,YES
Abundance.F40.Light.Sample.IDIRT_swap.19,B19_d,Sample,19,YES
Abundance.F40.Heavy.Control.IDIRT_swap.19,B19_d,Control,19,YES
Abundance.F41.Light.Sample.IDIRT_swap.25,B25_a,Sample,25,YES
Abundance.F41.Heavy.Control.IDIRT_swap.25,B25_a,Control,25,YES
Abundance.F42.Light.Sample.IDIRT_swap.25,B25_b,Sample,25,YES
Abundance.F42.Heavy.Control.IDIRT_swap.25,B25_b,Control,25,YES
Abundance.F43.Light.Sample.IDIRT_swap.25,B25_c,Sample,25,YES
Abundance.F43.Heavy.Control.IDIRT_swap.25,B25_c,Control,25,YES
Abundance.F44.Light.Sample.IDIRT_swap.25,B25_d,Sample,25,YES
Abundance.F44.Heavy.Control.IDIRT_swap.25,B25_d,Control,25,YES
Abundance.F45.Light.Sample.IDIRT_swap.29,B29_a,Sample,29,YES
Abundance.F45.Heavy.Control.IDIRT_swap.29,B29_a,Control,29,YES
Abundance.F46.Light.Sample.IDIRT_swap.29,B29_b,Sample,29,YES
Abundance.F46.Heavy.Control.IDIRT_swap.29,B29_b,Control,29,YES
Abundance.F47.Light.Sample.IDIRT_swap.29,B29_c,Sample,29,YES
Abundance.F47.Heavy.Control.IDIRT_swap.29,B29_c,Control,29,YES
Abundance.F48.Light.Sample.IDIRT_swap.29,B29_d,Sample,29,YES
Abundance.F48.Heavy.Control.IDIRT_swap.29,B29_d,Control,29,YES
